"name","age","dni","source","tags","phone","external_id"
"Starlin Mohandas","71","55753061945","manual-registration","on_consideration|techsource_29","3 11-6270 1870","61830"
"Colline E. Ardenia","57","23280815978","MANUAL REGistration","actionpending|actionable|any_applicant","6 30 6562 6456","50407"
"Dana","24","44264899849","Manual registration","most_interested10","+54 8 57-7055 1194","87489"
"Ebony A. Prasad","41","37355211738","google form","apply_0_cases8|source_dependant16|apply_0_cases22","+54 5-83 6579 6922","81443"
"Dolley E. Tabber","92","39621038640","Email response","techsource_2926|never_call8|actionable","3 69-1221 8311","62049"
"Cassy J. Plafker","67","5523892527","Manual registration","actionable|apply_0_cases","9 99-4025 1964","27906"
"Cilka Nikolia","2","68994057233","Google forms","rangeof_action|call_again|rangeof_action","9 39 8969 6234","57565"
"Glad Ashleigh","19","56824101214","Email response","possible_buyer22|remove_of_source|actionpending","+54 7 42 5699 5227","33142"
"Tiphani Scevour","103","22541245201","Google forms","possible_buyer|on_consideration","5 74 2012 5834","17661"
"Carena G. Carbo","76","52949328006","google form","call_again|contactcenter_region4|contactcenter_region3","+54 9 22 7315 7975","65876"
"Harri D. Ailee","9","88064664083","facebok Leads","case1|case1","9 60 3924-4136","49094"
"Madalyn Thirion","8","23973958166","Manual registration","rangeof_action30|contactcenter_region1","9-13 6981-4705","65627"
"Truda Mount","98","38533697451","facebok Leads","least_interested19|form_ui34415","3 77 3261 5129","38984"
"Avis Aramen","27","29648602288","facebook leads","on_consideration24|actionable","2 49-6675-4171","83526"
"Brandise Joyan","10","81684084604","facebook leads","call_again|contactcenter_region2","1 21 6227 7038","80382"
"Cristi Bili","93","61846851788","google Forms","possible_buyer|form_ui34429","9 52 3139 1427","69405"
"Eada K. Adley","91","74474343270","MANUAL REGistration","form_ui344","+54 2 88 3276 7129","64174"
"Kellina Velick","60","89154873555","Facebook Leads","techsource_299","+54 7 86 8599 2041","87195"
"Emmie M. Ailbert","84","99568532238","MANUAL REGistration","possible_buyer11|source_dependant","+54 8 55 9058 5623","55549"
"Leanna Queri","72","76493725952","Manual registration","contactcenter_region3|never_call|actionpending","6 46 7980-3371","50902"
"Sharon Eskil","86","14710710740","Manual registration","rangeof_action10","7-16 3947 2859","78823"
"Benedikta Berenice","35","58039099051","facebook leads","apply_0_cases|least_interested15|apply_0_cases","+54 9 88 6914-7173","26167"
"Jessie A. Arick","102","1382693786","Facebook Leads","actionable|contactcenter_region229","+54 3 91-7548 1206","71604"
"Evonne N. Stavro","46","86512765695","Email response","case1","+54 7 15 3189 4858","92884"
"Joeann B. Vyner","85","96096420765","facebook leads","contactcenter_region2","+54 6 66 9690 3269","87240"
"Malina C. Deragon","90","53853973493","Email response","case111","8 88 5060 5000","23538"
"Leah Sibylle","7","39069514356","Google forms","most_interested18|remove_of_source5","1 50 3192 3996","93125"
"Esmaria J. Daigle","117","20745767347","Email RESPONSE","any_applicant|contactcenter_region4","3 75 7463-6170","80837"
"Rebekkah Emma","3","61055613798","facebook leads","source_dependant","1 89 6679-3180","55551"
"Alicea B. Sherard","100","81635944309","Email response","contactondemand|never_call","+54 9 69 3433 9322","33140"
"Morgana P. Pietrek","70","88854881661","facebook leads","contactcenter_region2|call_again|treaty","9 59 2063-7300","86701"
"Stevena Evania","101","82538606283","Email response","source_dependant7","2 51-9931 6824","69411"
"Gabriel Renee","22","62482824466","MANUAL REGistration","special|actionable5","+54 6 86 4681 1579","65795"
"Willamina Inglebert","104","66091504995","Email response","client_only|treaty","4 97-8233-4240","15746"
"Melloney R. Eddie","124","5777295456643","google Forms","never_call|techsource_29|most_interested","1-83-6297 4203","35293"
"Emelyne Feodor","26","85515679151","Email RESPONSE","actionpending22","1 67 1108 6547","56717"
"Merci","71","51178058468","MANUAL REGistration","never_call","7 32-6116-9677","34325"
"Zelda Mungo","117","53573051990","Email response","rangeof_action10","+54 4 52-9954 6720","30434"
"Lurline W. Toby","110","46455584460","google form","most_interested","8 37 7471 7050","38950"
"Julia L. Prospero","94","42514634807","Google forms","rangeof_action26|contactcenter_region2","+54 5 47 2960 35399","58272"
"Jodi Snapp","85","36553421511","Facebook Leads","limit4|case111|most_interested","5 44 8365 6336","88222"
"Cindee Frissell","48","32376255874","Google forms","contactondemand|actionable|any_applicant","1 58 6140 4593","20551"
"Carolann Tryck","17","84394070069","Email RESPONSE","possible_buyer12","+54 5 93 3952 6915","41131"
"Hayley W. Abdulla","58","81041956133","Google forms","actionable","3-74 3432 3103","12519"
"Sharon Colvert","65","2039036823","Facebook Leads","contactcenter_region48","+54 3 13 4851 1755","70465"
"Katine Dolph","87","43053689553","google Forms","on_consideration|client_only12","9 22-3652-4853","11755"
"Jasmina L. Jehias","80","820816420","facebook leads","treaty","9 42 5500 6990","80577"
"Valencia G. Corso","109","71419304398","Manual registration","most_interested22|source_dependant2|remove_of_source","+54 1-94 8914-4478","20932"
"Evelina S. Ola","61","24535921883","Manual registration","contactcenter_region1","3 25 6579 2217","48198"
"Alaine Merrel","4","18882126311","Email RESPONSE","remove_of_source|rangeof_action22","+54 7 78 5723 5222","30316"
"Maisey A. Henry","105","99492855922","Manual registration","client_only|limit5","+54 2 15 4978 8925","43690"
"Livvie Dex","68","78582835428","Google forms","special|limit|treaty","2 51 8182-9895","74658"
"Franni R. Melamed","74","87989958100","Email RESPONSE","contactondemand|special2","5 54 1498 3953","60636"
"Vitoria Ellerey","66","44495192587","manual-registration","contactondemand|techsource_296|contactcenter_region29","1 73 7849 1695","15434"
"Alyda Alcot","107","78197829182","facebook leads","special|remove_of_source|rangeof_action","+54 9 39 5281 8501","48201"
"Shelby Meri","124","50278285520","Google forms","contactcenter_region3|apply_0_cases","1 61-5181 1051","69960"
"Jeanna Barnaba","31","33899848946","Google forms","apply_0_cases","8 19 3254-7814","56131"
"Carmita Josee","92","21169502565","facebook leads","rangeof_action|client_only","+54 2 39 8260 4151","50759"
"Aurelie Orabel","28","58814361324","Facebook Leads","any_applicant19","+54 7 10 2686 3898","46049"
"Ree Thedric","79","82661636234","Facebook Leads","client_only","3 50 8662 4049","90979"
"Lucy Kreitman","5","79634118147","Google forms","contactcenter_region323","6 21 1164 5731","53432"
"Bathsheba Bonaparte","43","37770107740","Email RESPONSE","possible_buyer","+54 7-82 4214 1156","45849"
"Sabrina","53","54101338169","Email response","contactcenter_region426|least_interested","7 70-9551-5932","89629"
"Rochella H. Plafker","106","36825891236","Manual registration","remove_of_source6","4 56 9850 9712","70817"
"Wendy Horsey","17","18550987831","Email response","contactcenter_region3","1 21 7198-2159","78817"
"Cecile A. Charleton","33","52121627031","google form","contactcenter_region2","1-12 7739 7230","87094"
"Gilli Zins","30","60259961549","facebook leads","contactcenter_region15|remove_of_source|limit","1 48 1433-2053","14673"
"Dot Hakon","20","38534003840","Google forms","client_only|actionpending23|possible_buyer","3 47-6008 4912","48842"
"Bethany S. Walli","18","70678041098","MANUAL REGistration","form_ui344|form_ui344","6 28 3737 6857","55354"
"Sibilla Charlene","39","22308871684","Email response","possible_buyer","8 19 9698 2004","65882"
"Sheela Hitt","15","32663845365","Email response","actionable|contactcenter_region4","5 23 4335-3533","10446"
"Eleanore I.","76","48935693511","MANUAL REGistration","least_interested","4 27 5525-2649","25670"
"Priscella T. Laurence","101","28254195175","Email response","on_consideration|contactcenter_region4","6 28 6200 7340","68754"
"Lena A. Seaman","51","23524718077","google Forms","contactcenter_region2|remove_of_source12|case1","6 19 8188 1569","59704"
"Nicole G. Stormie","59","70557248104","Email RESPONSE","limit|form_ui344","+54 2 34 4670 5518","42046"
"Edee Flanigan","107","62248591449","MANUAL REGistration","contactcenter_region3","5 99 2928 4475","92995"
"Pavla R. Burg","96","97420043989","Email RESPONSE","client_only|treaty","+54 6-32 8009-3975","26255"
"Pavla Trilby","115","49538218173","facebook leads","treaty13|special17","4-64-5358 7772","61198"
"Ofilia H. Fontana","16","68483985564","Facebook Leads","actionpending|actionable","+54 1 25 8501-5809","38769"
"Mellicent Silma","98","83715865321","Manual registration","treaty|never_call|least_interested","+54 3 70 1605 3433","64472"
"Bobbi Jacobson","84","84386723390","Google forms","contactcenter_region2|contactondemand23","3-45 3554-3089","77986"
"Kaia U. Sharia","112","34027319527","Email response","rangeof_action|most_interested","5 81 1989 3862","26305"
"Florette Dillie","82","33861385248","facebook leads","call_again15|rangeof_action","2 30 3501 9288","38523"
"Abbe S. Aminta","86","39258131086","Facebook Leads","source_dependant|rangeof_action","+54 4 55 7302 4667","62058"
" T. Rudin","24","57717734623","facebook leads","most_interested|special|limit","2 49 1639 7760","89702"
"Concettina Wilek","6","11155853154","MANUAL REGistration","actionpending|on_consideration|apply_0_cases","5 96 8369 1068","81691"
"Carole Schou","89","54551382592","Google forms","least_interested","+54 7 26-8542 9603","57381"
"Tiffany C. Jacquelin","117","28211809213","google Forms","techsource_29|on_consideration","4 18 7252 9910","10142"
"Val G. Friedly","107","29599208943","facebook leads","actionable|any_applicant","5 45 2435 4247","89870"
" Adriana","39","19918251718","Email response","techsource_29","+54 9 76 9591 8367","93953"
"Eadie B. Wilber","39","97999528578","MANUAL REGistration","least_interested23|least_interested|actionpending","3 87 4528-6142","77269"
"Monique Fenwick","68","55915650407","Manual registration","contactcenter_region1|contactcenter_region329|least_interested","3 23 5746 8117","37754"
"Garnette Marilla","9","68449264426","Google forms","contactcenter_region2|on_consideration|any_applicant","7-80 1036 6580","18639"
"Ddene Ara","36","53281441324","Google forms","techsource_29|contactcenter_region3|any_applicant9","+54 9 71 1836 1502","35009"
"Cristie Besnard","112","70388771888","google form","never_call","2 93 7949 2611","20471"
"Allie Macy","62","60010574623","Google forms","remove_of_source|special|actionpending","1 54 1922 5292","12400"
"Nichole Faires","6","22423883967","Email RESPONSE","contactondemand|possible_buyer10","+54 3 80 1517 4879","78704"
"Devinne Drugi","119","65539300826","google Forms","apply_0_cases","4-37 7412-4755","27031"
"Sammy Robinetta","46","57939157396","MANUAL REGistration","rangeof_action|treaty|source_dependant12","+54 5 17 2427-1898","15860"
"Darleen Hendel","10","39853030875","Email RESPONSE","any_applicant19|case1|contactcenter_region2","+54 5 83-1541 1053","59068"
"Rivkah Herr","5","40600451368","facebook leads","contactcenter_region2","+54 1 54 4546 2451","31018"
"Drusi Vivi","118","63501316609","Email RESPONSE","rangeof_action|limit|least_interested","+54 3 17 2257 60514","96345"
"Miof Mela Reeve","116","89483518172","Email RESPONSE","contactcenter_region2|call_again","5 99 3771 7140","88676"
"Aprilette Nesline","35","72539758517","facebook leads","least_interested25|source_dependant|limit","6 54-8232 5407","59102"
"Cordelia Estis","78","38780489890","Facebook Leads","techsource_29|techsource_29","8-86 6676 1339","68184"
"Anthea O. Adila","108","68345803981","google Forms","any_applicant30","1 48 8916 4317","21404"
"Angelina Hanford","46","57939157396","facebok Leads","rangeof_action|possible_buyer5","+54 5 17 2427-1898","51335"
"Iormina Patrizius","112","77558425208","Manual registration","remove_of_source","7 13 4417 4591","21909"
"Geralda Supple","117","73180855181","google form","possible_buyer|actionable5","1-80 2760 4731","65418"
"Dacie Ranzini","84","31836740824","google form","contactcenter_region2","4-67 3251-25368","62288"
" V. Keily","97","72332247975","Facebook Leads","actionable29|special","8 13 1948 9355","75009"
"Hedy Flosi","33","87452750761","Google forms","actionpending13|client_only14|never_call","+54 1 98 8364 8437","35275"
"Ethelda R. Alisia","64","49717975443","Facebook Leads","case1","9-79 4505-8546","43873"
"Tybi H. Groome","46","57939157396","Google forms","any_applicant|never_call","+54 5 17 2427-1898","23862"
"Harrietta M. Brownson","114","34953531233","Email RESPONSE","call_again","6 41 3309 7490","98484"
"Teddie Ulane","122","98551926557","google Forms","never_call|actionable6|least_interested","8-39 7040 2786","28876"
"Harmonia Lynnelle","101","80768795533","Email RESPONSE","special|special","1-39 2327 2229","31470"
"Farah B. Gapin","74","83465695163","manual-registration","client_only","9 17-2719 7542","55557"
"Karalee Chelton","59","47153115582","Email response","possible_buyer|techsource_291","4 49 2495 7502","21750"
"Prissie Lavine","48","13795424072","MANUAL REGistration","contactondemand7","+54 9 87 5247 9756","24375"
"Kathryn R. Wyck","86","77273493838","Manual registration","least_interested","+54 6 44 4468 82758","74094"
"Aubrey Marvin","66","71798834029","facebook leads","contactcenter_region4|techsource_29|limit","2 65 6214-2281","27744"
"Joannes V. Kleeman","31","43675993158","Email response","call_again|case1|actionable18","8 49 4450 9309","61359"
"Kamillah M. Loise","58","86863799824","facebook leads","rangeof_action|rangeof_action|on_consideration13","+54 9 48 4573-6890","88086"
"Farra Vergil","46","57939157396","google Forms","on_consideration25","+54 5 17 2427-1898","15705"
"Suzette M. Luciana","31","81715077233","google Forms","possible_buyer|case15","4 47 6927 5447","41237"
"Vere Driskill","83","6749202094804","Facebook Leads","most_interested|contactondemand17|least_interested","+54 2 24-5319-7763","89598"
"Charin Bigford","48","80350320667","google Forms","any_applicant|on_consideration28","1 87 7910 2817","63266"
"Aidan Piotr","27","71157962325","Email response","least_interested30|client_only|call_again","9 13 3123 1535","23769"
"Lynda F. Jaclin","115","89840909620","facebook leads","case1|on_consideration13|most_interested","4 58 8310 7455","25291"
"Jewelle Krigsman","114","92490760037","Google forms","actionable|never_call","9 65 6604 2830","11898"
"Mamie Humberto","46","57939157396","Email response","special25|contactondemand|least_interested1","+54 5 17 2427-1898","14310"
"Arlee S. Denten","121","98952371947","Manual registration","apply_0_cases|call_again10|case118","8 50 1493 7764","86193"
"Lydie Feldt","120","16187985533","manual-registration","never_call|case1|techsource_29","5 69 1010 4049","21338"
"Sabrina Tobie","108","73129211117","Facebook Leads","contactcenter_region313","2 21 8908-29594","98499"
"Ann-Marie Efren","81","19019176173","facebook leads","call_again","6 36 4471 7239","55814"
"Blinny Washington","2","68073435282","Email response","source_dependant29|rangeof_action","4 32 9680 6633","70817"
"Carolynn U. Clarette","120","16187985533","Email RESPONSE","form_ui344","5 69 1010 4049","83866"
"Cathee Palermo","103","47460053598","Email RESPONSE","contactcenter_region1|techsource_29","1 59 3496 1209","49090"
"Ludovika Forta","42","56551013988","MANUAL REGistration","contactcenter_region3|most_interested|techsource_2917","8 98 7142 9363","42020"
"Kerrin Andrei","77","69503006732","Manual registration","client_only22|most_interested","+54 6 92 9947 2286","31945"
"Laural O. Parris","78","27053767782","Email RESPONSE","contactondemand|contactcenter_region38","8 25-3787 5801","75408"
"Ulrikaumeko Lemmuela","115","91821554047","facebook leads","never_call|form_ui344|rangeof_action","3 24 9475 7377","97181"
"Sybille J. Bick","93","65336419226","google Forms","rangeof_action|remove_of_source|contactcenter_region2","2 60 7031 7019","62746"
"Daffy Tadich","76","55492330305","Google forms","call_again25","9 57 5163 1100","50861"
"Shelby Schacker","44","99911714776","facebook leads","contactondemand|on_consideration|client_only","2 21 9560-8531","49766"
"Joceline Trust","112","35049963566","Manual registration","remove_of_source|limit|least_interested26","+54 1 96-5503 80757","85235"
"Minnie Colner","7","98506764988","Manual registration","case15|remove_of_source|rangeof_action9","8 32 1300 5906","82556"
" R. Hewes","98","26514887475","Email response","actionpending","2 79 4621 6312","40553"
"Frieda Starinsky","117","43215283097","Facebook Leads","techsource_29","+54 6 27-3782 8189","17786"
"Rhona J.","93","64557432455","Email responce","possible_buyer|case16|never_call","+54 8-96-5696 6193","45335"
"Janis Jane","13","96165411111","Google forms","client_only17|limit","8 18 9040 5998","58254"
"Elie Saw","31","83174665958","Email response","actionpending|apply_0_cases|apply_0_cases21","+54 5-36 9476 9668","64713"
"Zulema F. Sudderth","63","30329961297","MANUAL REGistration","source_dependant21|contactondemand","9 56-4343 1105","16896"
"Susanetta Hamel","119","30534866410","MANUAL REGistration","contactcenter_region3|rangeof_action","6 67 1860 7349","29727"
"Kaleena Prudie","41","81052158456","google Forms","form_ui344","+54 6 68 2162 2431","39297"
"Cindee S. Genevieve","102","19181549373","Email response","form_ui344","5 52 5844 5434","72417"
"Millie Lamson","78","31395150090","Email response","case1|actionable","+54 7 14 5961 6294","86194"
"Maitilde Sasnett","111","35027915594","facebook leads","techsource_298","8 65 4528 6805","46100"
"Judie Jacobs","114","28058420611","Facebook Leads","source_dependant|contactcenter_region3|special","9 11 1775-6541","22556"
"Imogen Gillie","83","63814419809","Manual registration","any_applicant19|actionpending|limit20","4 81 5976 3612","64713"
"Shina M. Devitt","28","25258060815","Manual registration","possible_buyer|contactcenter_region221|actionpending9","+54 7-34 9817-2274","36156"
"Elbertine Kinnard","37","74299295617","MANUAL REGistration","call_again|actionable|remove_of_source","+54 7 59-6056 2554","28216"
"Ashlee O. Andrei","114","83516802466","facebook leads","contactcenter_region41","5 50 6888 2499","86102"
"Carley M. Jenny","122","47216387419","Email response","rangeof_action15|contactcenter_region4|special","1 55 5499 6761","99607"
"Brynna Link","1","47602684923","facebook leads","rangeof_action12|contactcenter_region2|limit4","4 69 4750 5439","74873"
"Jacenta G. Waylan","114","65065875543","Google forms","any_applicant|techsource_2928|special","9 10 3526 6933","18431"
"Giuditta Dorsman","39","36280756410","MANUAL REGistration","contactcenter_region4|contactcenter_region1","+54 1 76 1407 5496","98835"
"Madalyn Tremann","19","6253360086017","google Forms","rangeof_action|case1|form_ui34428","+54 8 85 5189-9552","24910"
" Khorma","1","54265759941","Manual registration","source_dependant23|source_dependant","3-75 2036 84661","57035"
"Ola Hedvah","89","79585015080","Google forms","contactcenter_region326|contactcenter_region217","+54 1 96 3966 98431","85539"
"Claudia Oatis","85","67954938860","Manual registration","any_applicant12|special17","+54 8-63-6417 5748","28943"
"Cordelia C. Geanine","21","84540870913","MANUAL REGistration","contactondemand|limit","+54 6 82 5079 6416","68301"
